aircraft,chosen_route,delay,node_times
AC_A_1,route_arr_2a,0.0,"{'17rf': 0.0, 'l6': 0.0, 'd5': 0.0, 'p8': 0.0, 'k5': 72.32583566052105, 'p4': 20.489937746169716, 'l5': 59.36686118193005, 'a1': 0.0, 'p3': 0.0, '17re': 39.92839946405711, 'p7': 0.0, 'p5': 0.0, 'l7': 0.0, 'k8': 0.0, 'p6': 0.0, 'd4': 78.80532289979413, 'k6': 0.0, 'l8': 0.0, 'a3': 0.0, 'l9': 0.0, 'p2': 0.0}"
AC_A_10,route_arr_2a,0.0,"{'17rf': 838.8053228995096, 'l6': 0.0, 'd5': 0.0, 'p8': 0.0, 'k5': 882.3258356589831, 'p4': 830.4899377457841, 'l5': 869.3668611803914, 'a1': 15371.50404546503, 'p3': 0.0, '17re': 849.9283994625039, 'p7': 0.0, 'p5': 0.0, 'l7': 0.0, 'k8': 0.0, 'p6': 0.0, 'd4': 888.805322898279, 'k6': 0.0, 'l8': 0.0, 'a3': 810.0, 'l9': 0.0, 'p2': 0.0}"
AC_A_2,route_arr_2a,0.0,"{'17rf': 0.0, 'l6': 0.0, 'd5': 0.0, 'p8': 0.0, 'k5': 162.32583566022004, 'p4': 110.48993774587854, 'l5': 149.36686118162834, 'a1': 23288.380142999886, 'p3': 12570.820098957513, '17re': 129.9283994637408, 'p7': 0.0, 'p5': 0.0, 'l7': 0.0, 'k8': 0.0, 'p6': 0.0, 'd4': 168.8053228995159, 'k6': 0.0, 'l8': 0.0, 'a3': 90.0, 'l9': 0.0, 'p2': 0.0}"
AC_A_3,route_arr_2a,0.0,"{'17rf': 204.3668611815374, 'l6': 0.0, 'd5': 0.0, 'p8': 0.0, 'k5': 252.3258356601882, 'p4': 200.48993774587842, 'l5': 239.36686118162424, 'a1': 0.0, 'p3': 0.0, '17re': 219.92839946376597, 'p7': 0.0, 'p5': 0.0, 'l7': 0.0, 'k8': 0.0, 'p6': 0.0, 'd4': 258.8053228994583, 'k6': 0.0, 'l8': 0.0, 'a3': 180.0, 'l9': 0.0, 'p2': 0.0}"
AC_A_4,route_arr_2a,0.0,"{'17rf': 294.36686118162424, 'l6': 0.0, 'd5': 0.0, 'p8': 0.0, 'k5': 342.32583566023095, 'p4': 290.4899377458784, 'l5': 329.36686118163925, 'a1': 24135.088763613152, 'p3': 13183.471763758338, '17re': 309.9283994637517, 'p7': 0.0, 'p5': 0.0, 'l7': 0.0, 'k8': 0.0, 'p6': 0.0, 'd4': 348.8053228995268, 'k6': 0.0, 'l8': 0.0, 'a3': 270.0, 'l9': 0.0, 'p2': 0.0}"
AC_A_5,route_arr_2a,0.0,"{'17rf': 454.2333341104313, 'l6': 0.0, 'd5': 0.0, 'p8': 0.0, 'k5': 486.63077030691056, 'p4': 380.4899377458783, 'l5': 473.67179582831886, 'a1': 0.0, 'p3': 0.0, '17re': 454.2333341104313, 'p7': 0.0, 'p5': 0.0, 'l7': 0.0, 'k8': 0.0, 'p6': 0.0, 'd4': 493.1102575462064, 'k6': 0.0, 'l8': 0.0, 'a3': 360.0, 'l9': 0.0, 'p2': 0.0}"
AC_A_6,route_arr_2a,0.0,"{'17rf': 454.23333411045314, 'l6': 0.0, 'd5': 0.0, 'p8': 0.0, 'k5': 522.3258356565602, 'p4': 470.48993774587825, 'l5': 509.36686117796853, 'a1': 22817.964360442114, 'p3': 14250.42828549756, '17re': 489.928399460081, 'p7': 0.0, 'p5': 0.0, 'l7': 0.0, 'k8': 0.0, 'p6': 0.0, 'd4': 528.8053228958561, 'k6': 0.0, 'l8': 0.0, 'a3': 450.0, 'l9': 0.0, 'p2': 0.0}"
AC_A_7,route_arr_2a,0.0,"{'17rf': 564.3668611811013, 'l6': 0.0, 'd5': 0.0, 'p8': 0.0, 'k5': 612.3258356601875, 'p4': 560.4899377458783, 'l5': 599.3668611816221, 'a1': 0.0, 'p3': 0.0, '17re': 579.9283994637658, 'p7': 0.0, 'p5': 0.0, 'l7': 0.0, 'k8': 0.0, 'p6': 0.0, 'd4': 618.8053228994575, 'k6': 0.0, 'l8': 0.0, 'a3': 540.0, 'l9': 0.0, 'p2': 0.0}"
AC_A_8,route_arr_2a,0.0,"{'17rf': 654.3668611816221, 'l6': 0.0, 'd5': 0.0, 'p8': 0.0, 'k5': 702.3258356574479, 'p4': 650.4899377458781, 'l5': 689.3668611788562, 'a1': 22791.898914148187, 'p3': 14273.906546367129, '17re': 669.9283994609686, 'p7': 0.0, 'p5': 0.0, 'l7': 0.0, 'k8': 0.0, 'p6': 0.0, 'd4': 708.8053228967437, 'k6': 0.0, 'l8': 0.0, 'a3': 630.0, 'l9': 0.0, 'p2': 0.0}"
AC_A_9,route_arr_2a,0.0,"{'17rf': 764.3668611816247, 'l6': 0.0, 'd5': 0.0, 'p8': 0.0, 'k5': 796.7642973781013, 'p4': 740.4899377461869, 'l5': 783.8053228995096, 'a1': 0.0, 'p3': 0.0, '17re': 764.3668611816221, 'p7': 0.0, 'p5': 0.0, 'l7': 0.0, 'k8': 0.0, 'p6': 0.0, 'd4': 803.2437846173972, 'k6': 0.0, 'l8': 0.0, 'a3': 720.0, 'l9': 0.0, 'p2': 810.0}"
