param,value,status,objective,aircraft,chosen_route,delay
Tidep,30,2,11202.758330287917,AC_A_1,route_arr_2a,0.0
Tidep,30,2,11202.758330287917,AC_A_10,route_arr_1b,0.0
Tidep,30,2,11202.758330287917,AC_A_2,route_arr_1b,0.0
Tidep,30,2,11202.758330287917,AC_A_3,route_arr_1b,0.0
Tidep,30,2,11202.758330287917,AC_A_4,route_arr_1b,0.0
Tidep,30,2,11202.758330287917,AC_A_5,route_arr_1b,0.0
Tidep,30,2,11202.758330287917,AC_A_6,route_arr_1b,0.0
Tidep,30,2,11202.758330287917,AC_A_7,route_arr_1b,0.0
Tidep,30,2,11202.758330287917,AC_A_8,route_arr_1b,0.0
Tidep,30,2,11202.758330287917,AC_A_9,route_arr_1b,0.0
Tidep,30,2,11202.758330287917,AC_D_1,route_dep_1,0.0
Tidep,30,2,11202.758330287917,AC_D_10,route_dep_1,0.0
Tidep,30,2,11202.758330287917,AC_D_2,route_dep_1,24.474939028881465
Tidep,30,2,11202.758330287917,AC_D_3,route_dep_1,0.0
Tidep,30,2,11202.758330287917,AC_D_4,route_dep_1,0.0
Tidep,30,2,11202.758330287917,AC_D_5,route_dep_1,0.0
Tidep,30,2,11202.758330287917,AC_D_6,route_dep_1,0.0
Tidep,30,2,11202.758330287917,AC_D_7,route_dep_1,0.0
Tidep,30,2,11202.758330287917,AC_D_8,route_dep_1,0.0
Tidep,30,2,11202.758330287917,AC_D_9,route_dep_1,0.0
Tidep,40,2,11202.758323276039,AC_A_1,route_arr_2a,0.0
Tidep,40,2,11202.758323276039,AC_A_10,route_arr_1b,0.0
Tidep,40,2,11202.758323276039,AC_A_2,route_arr_1b,0.0
Tidep,40,2,11202.758323276039,AC_A_3,route_arr_1b,0.0
Tidep,40,2,11202.758323276039,AC_A_4,route_arr_1b,0.0
Tidep,40,2,11202.758323276039,AC_A_5,route_arr_1b,0.0
Tidep,40,2,11202.758323276039,AC_A_6,route_arr_1b,0.0
Tidep,40,2,11202.758323276039,AC_A_7,route_arr_1b,0.0
Tidep,40,2,11202.758323276039,AC_A_8,route_arr_1b,0.0
Tidep,40,2,11202.758323276039,AC_A_9,route_arr_1b,0.0
Tidep,40,2,11202.758323276039,AC_D_1,route_dep_1,0.0
Tidep,40,2,11202.758323276039,AC_D_10,route_dep_1,14.366861180399383
Tidep,40,2,11202.758323276039,AC_D_2,route_dep_1,24.474935630315372
Tidep,40,2,11202.758323276039,AC_D_3,route_dep_1,0.0
Tidep,40,2,11202.758323276039,AC_D_4,route_dep_1,0.0
Tidep,40,2,11202.758323276039,AC_D_5,route_dep_1,0.0
Tidep,40,2,11202.758323276039,AC_D_6,route_dep_1,0.0
Tidep,40,2,11202.758323276039,AC_D_7,route_dep_1,0.0
Tidep,40,2,11202.758323276039,AC_D_8,route_dep_1,0.0
Tidep,40,2,11202.758323276039,AC_D_9,route_dep_1,0.0
Tidep,50,2,11202.758330223409,AC_A_1,route_arr_2a,0.0
Tidep,50,2,11202.758330223409,AC_A_10,route_arr_1b,0.0
Tidep,50,2,11202.758330223409,AC_A_2,route_arr_1b,0.0
Tidep,50,2,11202.758330223409,AC_A_3,route_arr_1b,0.0
Tidep,50,2,11202.758330223409,AC_A_4,route_arr_1b,0.0
Tidep,50,2,11202.758330223409,AC_A_5,route_arr_1b,0.0
Tidep,50,2,11202.758330223409,AC_A_6,route_arr_1b,0.0
Tidep,50,2,11202.758330223409,AC_A_7,route_arr_1b,0.0
Tidep,50,2,11202.758330223409,AC_A_8,route_arr_1b,0.0
Tidep,50,2,11202.758330223409,AC_A_9,route_arr_1b,0.0
Tidep,50,2,11202.758330223409,AC_D_1,route_dep_1,0.0
Tidep,50,2,11202.758330223409,AC_D_10,route_dep_1,0.0
Tidep,50,2,11202.758330223409,AC_D_2,route_dep_1,24.474939028636754
Tidep,50,2,11202.758330223409,AC_D_3,route_dep_1,0.0
Tidep,50,2,11202.758330223409,AC_D_4,route_dep_1,0.0
Tidep,50,2,11202.758330223409,AC_D_5,route_dep_1,0.0
Tidep,50,2,11202.758330223409,AC_D_6,route_dep_1,0.0
Tidep,50,2,11202.758330223409,AC_D_7,route_dep_1,0.0
Tidep,50,2,11202.758330223409,AC_D_8,route_dep_1,0.0
Tidep,50,2,11202.758330223409,AC_D_9,route_dep_1,0.0
Tidep,60,2,11246.196791180057,AC_A_1,route_arr_2a,0.0
Tidep,60,2,11246.196791180057,AC_A_10,route_arr_1b,0.0
Tidep,60,2,11246.196791180057,AC_A_2,route_arr_1b,0.0
Tidep,60,2,11246.196791180057,AC_A_3,route_arr_1b,0.0
Tidep,60,2,11246.196791180057,AC_A_4,route_arr_1b,0.0
Tidep,60,2,11246.196791180057,AC_A_5,route_arr_1b,0.0
Tidep,60,2,11246.196791180057,AC_A_6,route_arr_1b,0.0
Tidep,60,2,11246.196791180057,AC_A_7,route_arr_1b,0.0
Tidep,60,2,11246.196791180057,AC_A_8,route_arr_1b,0.0
Tidep,60,2,11246.196791180057,AC_A_9,route_arr_1b,0.0
Tidep,60,2,11246.196791180057,AC_D_1,route_dep_1,0.0
Tidep,60,2,11246.196791180057,AC_D_10,route_dep_1,0.0
Tidep,60,2,11246.196791180057,AC_D_2,route_dep_1,24.474939028959852
Tidep,60,2,11246.196791180057,AC_D_3,route_dep_1,0.0
Tidep,60,2,11246.196791180057,AC_D_4,route_dep_1,0.0
Tidep,60,2,11246.196791180057,AC_D_5,route_dep_1,0.0
Tidep,60,2,11246.196791180057,AC_D_6,route_dep_1,0.0
Tidep,60,2,11246.196791180057,AC_D_7,route_dep_1,0.0
Tidep,60,2,11246.196791180057,AC_D_8,route_dep_1,0.0
Tidep,60,2,11246.196791180057,AC_D_9,route_dep_1,0.0
Tidep,70,2,11299.47569984911,AC_A_1,route_arr_2a,0.0
Tidep,70,2,11299.47569984911,AC_A_10,route_arr_1b,0.0
Tidep,70,2,11299.47569984911,AC_A_2,route_arr_1b,0.0
Tidep,70,2,11299.47569984911,AC_A_3,route_arr_1b,0.0
Tidep,70,2,11299.47569984911,AC_A_4,route_arr_1b,0.0
Tidep,70,2,11299.47569984911,AC_A_5,route_arr_1b,0.0
Tidep,70,2,11299.47569984911,AC_A_6,route_arr_1b,0.0
Tidep,70,2,11299.47569984911,AC_A_7,route_arr_1b,0.0
Tidep,70,2,11299.47569984911,AC_A_8,route_arr_1b,0.0
Tidep,70,2,11299.47569984911,AC_A_9,route_arr_1b,0.0
Tidep,70,2,11299.47569984911,AC_D_1,route_dep_1,0.0
Tidep,70,2,11299.47569984911,AC_D_10,route_dep_1,0.0
Tidep,70,2,11299.47569984911,AC_D_2,route_dep_1,0.0
Tidep,70,2,11299.47569984911,AC_D_3,route_dep_1,0.0
Tidep,70,2,11299.47569984911,AC_D_4,route_dep_1,0.0
Tidep,70,2,11299.47569984911,AC_D_5,route_dep_1,0.0
Tidep,70,2,11299.47569984911,AC_D_6,route_dep_1,0.0
Tidep,70,2,11299.47569984911,AC_D_7,route_dep_1,0.0
Tidep,70,2,11299.47569984911,AC_D_8,route_dep_1,0.0
Tidep,70,2,11299.47569984911,AC_D_9,route_dep_1,0.0
