aircraft,chosen_route,delay,node_times
AC_A_1,route_arr_2a,0.0,"{'l5': 59.36686118182445, 'd1': 156.55916977119762, 'k2': 150.0796825319012, 'p7': 0.0, '17rf': 0.0, 'a3': 0.0, 'p5': 0.0, 'l4': 85.28481013900694, 'l2': 137.12070805335736, 'p2': 0.0, 'd5': 0.0, '17re': 39.928399464057264, 'l9': 0.0, 'l7': 0.0, 'l6': 0.0, 'p4': 20.489937746169716, 'p3': 0.0, 'a1': 0.0, 'k6': 0.0, 'p8': 0.0, 'p6': 0.0, 'l3': 111.20275909618914, 'l8': 0.0}"
AC_A_10,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 934.161733574806, 'a3': 0.0, 'p5': 914.7232718569674, 'l4': 0.0, 'l2': 0.0, 'p2': 830.4899377461275, 'd5': 973.0386570105065, '17re': 893.60019529071, 'l9': 0.0, 'l7': 0.0, 'l6': 953.6001952926711, 'p4': 882.325835660459, 'p3': 856.4078867032858, 'a1': 810.0, 'k6': 966.5591697712327, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_2,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 214.1617335748365, 'a3': 0.0, 'p5': 194.7232718569935, 'l4': 0.0, 'l2': 0.0, 'p2': 110.4899377461441, 'd5': 253.03865701055634, '17re': 159.23333410784107, 'l9': 0.0, 'l7': 0.0, 'l6': 233.60019529271426, 'p4': 162.32583566048515, 'p3': 136.4078867033275, 'a1': 90.0, 'k6': 246.5591697712871, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_3,route_arr_1b,0.0,"{'l5': 129.23333410784005, 'd1': 11358.546884980977, 'k2': 5581.748096736606, 'p7': 0.0, '17rf': 304.16173357424395, 'a3': 22857.06252988297, 'p5': 284.7232718565049, 'l4': 129.23333410784005, 'l2': 1724.1222933574863, 'p2': 200.48993774587845, 'd5': 343.03865700957044, '17re': 17424.216413346952, 'l9': 0.0, 'l7': 0.0, 'l6': 323.60019529201577, 'p4': 252.32583566007017, 'p3': 226.4078867029452, 'a1': 180.0, 'k6': 336.5591697705099, 'p8': 0.0, 'p6': 0.0, 'l3': 129.23333410784005, 'l8': 0.0}"
AC_A_4,route_arr_1b,0.0,"{'l5': 219.2333341079593, 'd1': 14393.244970624299, 'k2': 7086.556808309349, 'p7': 0.0, '17rf': 394.16173357415846, 'a3': 24135.088763613137, 'p5': 374.72327185645145, 'l4': 219.2333341079593, 'l2': 8424.319683784066, 'p2': 290.4899377458784, 'd5': 433.0386570095768, '17re': 16723.720972609994, 'l9': 0.0, 'l7': 0.0, 'l6': 413.6001952919271, 'p4': 342.32583566001205, 'p3': 316.4078867028871, 'a1': 270.0, 'k6': 426.5591697704276, 'p8': 0.0, 'p6': 0.0, 'l3': 219.2333341079593, 'l8': 0.0}"
AC_A_5,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 484.1617335748342, 'a3': 0.0, 'p5': 464.72327185694667, 'l4': 0.0, 'l2': 0.0, 'p2': 380.4899377461489, 'd5': 523.0386570105617, '17re': 443.60019529192505, 'l9': 0.0, 'l7': 0.0, 'l6': 503.6001952927214, 'p4': 432.3258356604383, 'p3': 406.40788670331557, 'a1': 360.0, 'k6': 516.5591697712933, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_6,route_arr_1b,0.0,"{'l5': 581.6001952919205, 'd1': 11358.546884980977, 'k2': 5581.748096736606, 'p7': 0.0, '17rf': 574.1617335741847, 'a3': 22817.9643604421, 'p5': 554.7232718565082, 'l4': 581.6001952919205, 'l2': 8598.714542984824, 'p2': 470.48993774587814, 'd5': 613.0386570095776, '17re': 17459.43380465128, 'l9': 0.0, 'l7': 0.0, 'l6': 593.6001952919593, 'p4': 522.3258356600692, 'p3': 496.40788670294467, 'a1': 450.0, 'k6': 606.5591697704593, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_7,route_arr_1b,0.0,"{'l5': 691.6001952919146, 'd1': 15404.81099917207, 'k2': 9277.892331401497, 'p7': 0.0, '17rf': 664.1617335741547, 'a3': 24535.808191543212, 'p5': 644.7232718564738, 'l4': 691.6001952919146, 'l2': 3783.3346507265705, 'p2': 560.4899377458781, 'd5': 703.038657009554, '17re': 16547.400491281904, 'l9': 0.0, 'l7': 0.0, 'l6': 683.6001952919265, 'p4': 612.3258356600401, 'p3': 586.4078867029156, 'a1': 540.0, 'k6': 696.5591697704207, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_8,route_arr_1b,0.0,"{'l5': 691.6001952919123, 'd1': 11358.546884980977, 'k2': 5581.748096736606, 'p7': 0.0, '17rf': 754.1617335742168, 'a3': 22791.898914148187, 'p5': 734.7232718565077, 'l4': 691.6001952919123, 'l2': 8598.714542984824, 'p2': 650.4899377458781, 'd5': 793.0386570096108, '17re': 17482.912065520868, 'l9': 0.0, 'l7': 0.0, 'l6': 773.6001952919913, 'p4': 702.3258356600692, 'p3': 676.4078867029447, 'a1': 630.0, 'k6': 786.5591697704914, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_9,route_arr_1b,0.0,"{'l5': 691.6001952919123, 'd1': 12370.112913528748, 'k2': 6083.35100059419, 'p7': 0.0, '17rf': 844.1617335732735, 'a3': 23183.855446224392, 'p5': 824.7232718564628, 'l4': 691.6001952919123, 'l2': 8582.790844609663, 'p2': 740.4899377459946, 'd5': 883.0386570063711, '17re': 17256.046547951395, 'l9': 0.0, 'l7': 0.0, 'l6': 863.6001952907154, 'p4': 792.3258356598799, 'p3': 766.4078867027264, 'a1': 720.0, 'k6': 876.5591697686759, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
