aircraft,chosen_route,delay,node_times
AC_A_1,route_arr_2a,0.0,"{'l5': 59.366861181826835, 'd1': 156.55916977098468, 'k2': 150.0796825318073, 'p7': 0.0, '17rf': 1188.1470753272447, 'a3': 0.0, 'p5': 10638.844418153707, 'l4': 85.28481013898363, 'l2': 137.12070805327903, 'p2': 0.0, 'd5': 7562.485070661081, '17re': 39.92839946396953, 'l9': 0.0, 'l7': 0.0, 'l6': 0.0, 'p4': 20.4899377461697, 'p3': 0.0, 'a1': 0.0, 'k6': 14784.649461648572, 'p8': 0.0, 'p6': 0.0, 'l3': 111.20275909613679, 'l8': 0.0}"
AC_A_10,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 934.1617335739868, 'a3': 0.0, 'p5': 914.7232718562841, 'l4': 0.0, 'l2': 0.0, 'p2': 830.4899377457862, 'd5': 973.038657009474, '17re': 17071.849129015354, 'l9': 0.0, 'l7': 0.0, 'l6': 953.6001952917295, 'p4': 882.3258356598842, 'p3': 856.4078867027561, 'a1': 810.0, 'k6': 966.5591697701782, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_2,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 3232.4705707760368, 'k2': 0.0, 'p7': 0.0, '17rf': 214.1617335741845, 'a3': 0.0, 'p5': 194.72327185650545, 'l4': 0.0, 'l2': 0.0, 'p2': 110.48993774587858, 'd5': 253.038657009551, '17re': 17447.19763027213, 'l9': 0.0, 'l7': 0.0, 'l6': 233.60019529193266, 'p4': 162.3258356600705, 'p3': 136.40788670294543, 'a1': 90.0, 'k6': 246.55916977043137, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_3,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 2225.4260080252498, 'k2': 0.0, 'p7': 0.0, '17rf': 304.16173357202354, 'a3': 0.0, 'p5': 284.7232718559252, 'l4': 0.0, 'l2': 0.0, 'p2': 200.48993774587845, 'd5': 343.0386570056917, '17re': 17711.97515666343, 'l9': 0.0, 'l7': 0.0, 'l6': 323.60019528977716, 'p4': 252.32583565958643, 'p3': 226.40788670246147, 'a1': 180.0, 'k6': 336.5591697680221, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_4,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 5246.559696277618, 'k2': 0.0, 'p7': 0.0, '17rf': 394.1617335741487, 'a3': 0.0, 'p5': 374.7232718564471, 'l4': 0.0, 'l2': 0.0, 'p2': 290.4899377458784, 'd5': 433.0386570095816, '17re': 16988.187157184457, 'l9': 0.0, 'l7': 0.0, 'l6': 413.60019529189003, 'p4': 342.32583566001176, 'p3': 316.4078867028871, 'a1': 270.0, 'k6': 426.55916977038873, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_5,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 2225.4260080252498, 'k2': 0.0, 'p7': 0.0, '17rf': 484.16173357165826, 'a3': 0.0, 'p5': 464.723271855946, 'l4': 0.0, 'l2': 0.0, 'p2': 380.48993774587836, 'd5': 523.0386570051642, '17re': 17733.15162725166, 'l9': 0.0, 'l7': 0.0, 'l6': 503.600195289413, 'p4': 432.3258356595602, 'p3': 406.40788670294495, 'a1': 360.0, 'k6': 516.5591697678701, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_6,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 2225.4260080252498, 'k2': 0.0, 'p7': 0.0, '17rf': 574.1617335741759, 'a3': 0.0, 'p5': 554.7232718565034, 'l4': 0.0, 'l2': 0.0, 'p2': 470.48993774587814, 'd5': 613.0386570095171, '17re': 17743.73986254584, 'l9': 0.0, 'l7': 0.0, 'l6': 593.6001952919306, 'p4': 522.3258356600692, 'p3': 496.40788670294467, 'a1': 450.0, 'k6': 606.5591697703995, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_7,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 5281.618462415623, 'k2': 0.0, 'p7': 0.0, '17rf': 664.1617335741827, 'a3': 0.0, 'p5': 644.7232718565043, 'l4': 0.0, 'l2': 0.0, 'p2': 560.4899377458781, 'd5': 703.0386570095749, '17re': 16801.99463882996, 'l9': 0.0, 'l7': 0.0, 'l6': 683.6001952919302, 'p4': 612.3258356600692, 'p3': 586.4078867029447, 'a1': 540.0, 'k6': 696.5591697703854, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_8,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 1249.4334952824138, 'k2': 0.0, 'p7': 0.0, '17rf': 754.1617335742354, 'a3': 0.0, 'p5': 734.723271856515, 'l4': 0.0, 'l2': 0.0, 'p2': 650.4899377458781, 'd5': 793.0386570094614, '17re': 17764.916333134075, 'l9': 0.0, 'l7': 0.0, 'l6': 773.6001952919672, 'p4': 702.3258356600692, 'p3': 676.4078867029447, 'a1': 630.0, 'k6': 786.5591697704032, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_9,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 2257.479737065718, 'k2': 0.0, 'p7': 0.0, '17rf': 844.1617335737847, 'a3': 0.0, 'p5': 824.7232718564749, 'l4': 0.0, 'l2': 0.0, 'p2': 740.4899377459653, 'd5': 883.0386570080113, '17re': 17529.37154331561, 'l9': 0.0, 'l7': 0.0, 'l6': 863.6001952909983, 'p4': 792.3258356600686, 'p3': 766.4078867032074, 'a1': 720.0, 'k6': 876.5591697693587, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
