aircraft,chosen_route,delay,node_times
AC_A_1,route_arr_2a,0.0,"{'l5': 59.36686118194484, 'd1': 176.7926926911856, 'k2': 170.31320545188976, 'p7': 0.0, '17rf': 0.0, 'a3': 0.0, 'p5': 0.0, 'l4': 85.28481013912824, 'l2': 157.35423097329806, 'p2': 0.0, 'd5': 0.0, '17re': 39.92839946405729, 'l9': 0.0, 'l7': 0.0, 'l6': 0.0, 'p4': 20.489937746169744, 'p3': 0.0, 'a1': 0.0, 'k6': 0.0, 'p8': 0.0, 'p6': 0.0, 'l3': 111.20275909631164, 'l8': 0.0}"
AC_A_10,route_arr_1b,0.0,"{'l5': 874.4333341089732, 'd1': 11381.908331238497, 'k2': 5547.9708784087525, 'p7': 0.0, '17rf': 934.1617335740395, 'a3': 23799.505118692556, 'p5': 914.7232718563059, 'l4': 874.4333341089732, 'l2': 1093.6282469613361, 'p2': 830.4899377457862, 'd5': 973.0386570094611, '17re': 17038.10681960926, 'l9': 0.0, 'l7': 0.0, 'l6': 953.600195291795, 'p4': 882.3258356598933, 'p3': 856.4078867027829, 'a1': 810.0, 'k6': 966.559169770271, 'p8': 0.0, 'p6': 0.0, 'l3': 870.8333341076104, 'l8': 0.0}"
AC_A_2,route_arr_1b,0.0,"{'l5': 219.23333410849762, 'd1': 9357.269084061823, 'k2': 4546.089667490767, 'p7': 0.0, '17rf': 269.23333410849773, 'a3': 23288.38014299987, 'p5': 194.7232718557775, 'l4': 219.23333410849762, 'l2': 630.0320217533954, 'p2': 110.48993774586769, 'd5': 308.1102575442728, '17re': 17412.477282912172, 'l9': 0.0, 'l7': 0.0, 'l6': 288.6717958263853, 'p4': 162.32583566007048, 'p3': 136.40788670283268, 'a1': 90.0, 'k6': 301.630770304977, 'p8': 0.0, 'p6': 0.0, 'l3': 219.23333410849762, 'l8': 0.0}"
AC_A_3,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 304.16173357493244, 'a3': 180.0, 'p5': 284.7232718570449, 'l4': 0.0, 'l2': 0.0, 'p2': 200.48993774616974, 'd5': 343.03865701070754, '17re': 269.2333341084086, 'l9': 0.0, 'l7': 0.0, 'l6': 323.60019529282, 'p4': 252.32583566053654, 'p3': 226.40788670335314, 'a1': 180.0, 'k6': 336.5591697714117, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_4,route_arr_1b,0.0,"{'l5': 399.23333410899795, 'd1': 11381.908331238497, 'k2': 5547.9708784087525, 'p7': 0.0, '17rf': 449.23333410899795, 'a3': 24135.088763613137, 'p5': 374.7232718563455, 'l4': 399.23333410899795, 'l2': 1093.6282469613361, 'p2': 290.4899377458784, 'd5': 488.11025754477305, '17re': 16954.4448477783, 'l9': 0.0, 'l7': 0.0, 'l6': 468.6717958268855, 'p4': 342.32583565998294, 'p3': 316.407886702858, 'a1': 270.0, 'k6': 481.6307703054772, 'p8': 0.0, 'p6': 0.0, 'l3': 399.23333410899795, 'l8': 0.0}"
AC_A_5,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 484.16173357493244, 'a3': 360.0, 'p5': 464.7232718570449, 'l4': 0.0, 'l2': 0.0, 'p2': 380.48993774616974, 'd5': 523.0386570107075, '17re': 449.23333410891064, 'l9': 0.0, 'l7': 0.0, 'l6': 503.60019529282, 'p4': 432.32583566053654, 'p3': 406.40788670335314, 'a1': 360.0, 'k6': 516.5591697714117, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_6,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 580.0333341089952, 'a3': 450.0, 'p5': 554.7232718570449, 'l4': 0.0, 'l2': 0.0, 'p2': 470.48993774616974, 'd5': 618.9102575447703, '17re': 580.0333341089952, 'l9': 0.0, 'l7': 0.0, 'l6': 599.4717958268827, 'p4': 522.3258356605365, 'p3': 496.40788670335314, 'a1': 450.0, 'k6': 612.4307703054744, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_7,route_arr_1b,0.0,"{'l5': 732.8333341089792, 'd1': 11386.111111111111, 'k2': 6048.911483867752, 'p7': 0.0, '17rf': 664.161733574263, 'a3': 24535.808191543212, 'p5': 644.7232718565099, 'l4': 732.8333341089792, 'l2': 1325.4263595653065, 'p2': 560.4899377459947, 'd5': 703.0386570099145, '17re': 16768.720972610005, 'l9': 0.0, 'l7': 0.0, 'l6': 683.6001952921006, 'p4': 612.3258356600984, 'p3': 586.4078867029448, 'a1': 540.0, 'k6': 696.5591697706186, 'p8': 0.0, 'p6': 0.0, 'l3': 732.8333341089792, 'l8': 0.0}"
AC_A_8,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 782.8333341089792, 'a3': 630.0, 'p5': 734.7232718570449, 'l4': 0.0, 'l2': 0.0, 'p2': 650.4899377461697, 'd5': 821.7102575447543, '17re': 782.8333341089792, 'l9': 0.0, 'l7': 0.0, 'l6': 802.2717958268668, 'p4': 702.3258356605365, 'p3': 676.4078867033531, 'a1': 630.0, 'k6': 815.2307703054585, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_9,route_arr_1b,0.0,"{'l5': 874.4333341089778, 'd1': 9357.269084061823, 'k2': 4546.089667490767, 'p7': 0.0, '17rf': 853.6333341089785, 'a3': 23183.855446224392, 'p5': 824.7232718565017, 'l4': 874.4333341089778, 'l2': 630.0320217533954, 'p2': 740.489937745878, 'd5': 892.5102575447536, '17re': 17494.65119595563, 'l9': 0.0, 'l7': 0.0, 'l6': 873.071795826866, 'p4': 792.325835660069, 'p3': 766.4078867029446, 'a1': 720.0, 'k6': 886.0307703054577, 'p8': 0.0, 'p6': 0.0, 'l3': 870.8333341076122, 'l8': 0.0}"
