aircraft,chosen_route,delay,node_times
AC_A_1,route_arr_2a,0.0,"{'l5': 59.36686118183752, 'd1': 156.55916977127526, 'k2': 150.07968253197942, 'p7': 0.0, '17rf': 0.0, 'a3': 0.0, 'p5': 0.0, 'l4': 85.28481013902092, 'l2': 137.12070805338772, 'p2': 90.0, 'd5': 0.0, '17re': 39.92839946405729, 'l9': 0.0, 'l7': 0.0, 'l6': 0.0, 'p4': 20.48993774616975, 'p3': 0.0, 'a1': 0.0, 'k6': 0.0, 'p8': 0.0, 'p6': 0.0, 'l3': 111.20275909620432, 'l8': 0.0}"
AC_A_10,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 934.1617335741594, 'a3': 24025.116070436907, 'p5': 914.7232718562719, 'l4': 953.600195291725, 'l2': 17427.878197487236, 'p2': 830.4899377458099, 'd5': 973.0386570094728, '17re': 923.6001952955091, 'l9': 0.0, 'l7': 0.0, 'l6': 953.600195291725, 'p4': 882.3258356597718, 'p3': 856.4078867029343, 'a1': 810.0, 'k6': 966.5591697702959, 'p8': 0.0, 'p6': 0.0, 'l3': 953.600195291725, 'l8': 28070.175438596456}"
AC_A_2,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 15472.814707350413, 'p7': 0.0, '17rf': 214.16173357421417, 'a3': 0.0, 'p5': 194.7232718564755, 'l4': 243.708273139835, 'l2': 0.0, 'p2': 110.48993774587858, 'd5': 253.03865700815143, '17re': 189.23333333333332, 'l9': 0.0, 'l7': 0.0, 'l6': 233.60019529198917, 'p4': 162.3258356600414, 'p3': 136.40788670291633, 'a1': 90.0, 'k6': 246.55916976919983, 'p8': 27745.66473988588, 'p6': 0.0, 'l3': 0.0, 'l8': 28402.366863905318}"
AC_A_3,route_arr_1b,0.0,"{'l5': 331.708273139835, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 304.1617335744306, 'a3': 0.0, 'p5': 284.7232718564471, 'l4': 0.0, 'l2': 17840.700280781664, 'p2': 200.48993774587845, 'd5': 343.0386570102057, '17re': 17711.975156663582, 'l9': 0.0, 'l7': 0.0, 'l6': 323.6001952923182, 'p4': 252.32583566004107, 'p3': 226.40788670285838, 'a1': 180.0, 'k6': 336.5591697709099, 'p8': 27906.976744187545, 'p6': 0.0, 'l3': 0.0, 'l8': 28571.428571428572}"
AC_A_4,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 11711.42857142857, 'k2': 0.0, 'p7': 0.0, '17rf': 394.16173357409866, 'a3': 0.0, 'p5': 374.723271856418, 'l4': 413.60019529189776, 'l2': 17277.309745599076, 'p2': 290.4899377458781, 'd5': 433.03865700959574, '17re': 391.708273139835, 'l9': 0.0, 'l7': 0.0, 'l6': 413.60019529189776, 'p4': 342.3258356599097, 'p3': 316.4078867028577, 'a1': 270.0, 'k6': 426.5591697703654, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 535.7142857142857}"
AC_A_5,route_arr_1b,0.0,"{'l5': 522.6001952918978, 'd1': 0.0, 'k2': 0.0, 'p7': 26086.956521740532, '17rf': 484.16173357408843, 'a3': 0.0, 'p5': 464.7232718564728, 'l4': 522.6001952918978, 'l2': 0.0, 'p2': 380.489937745675, 'd5': 523.0386570052688, '17re': 473.60019529189594, 'l9': 0.0, 'l7': 29813.66459627469, 'l6': 503.6001952919778, 'p4': 432.3258356600404, 'p3': 406.4078867028584, 'a1': 360.0, 'k6': 516.5591697686868, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 28571.428571428572}"
AC_A_6,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 12809.375, 'k2': 0.0, 'p7': 0.0, '17rf': 641.6001952918982, 'a3': 0.0, 'p5': 554.7232718570449, 'l4': 691.6001952918982, 'l2': 0.0, 'p2': 470.48993774616974, 'd5': 680.4771187276638, '17re': 641.600195291896, 'l9': 0.0, 'l7': 0.0, 'l6': 661.0386570097762, 'p4': 522.3258356605365, 'p3': 496.40788670335314, 'a1': 450.0, 'k6': 673.9976314883679, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_7,route_arr_1b,0.0,"{'l5': 691.6001952918899, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 664.1617335617855, 'a3': 0.0, 'p5': 644.7232718564129, 'l4': 0.0, 'l2': 0.0, 'p2': 560.4899377457882, 'd5': 703.0386569696013, '17re': 641.6001952918982, 'l9': 26666.666666666668, 'l7': 0.0, 'l6': 683.6001952640029, 'p4': 612.325835660011, 'p3': 586.4078867028823, 'a1': 540.0, 'k6': 696.559169740717, 'p8': 0.0, 'p6': 25364.956306083914, 'l3': 0.0, 'l8': 29767.44186046671}"
AC_A_8,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 754.1617335709252, 'a3': 0.0, 'p5': 734.7232718563173, 'l4': 773.6001952888037, 'l2': 0.0, 'p2': 650.4899377461697, 'd5': 793.0386570066912, '17re': 751.6001952918982, 'l9': 0.0, 'l7': 0.0, 'l6': 773.6001952888037, 'p4': 702.3258356592834, 'p3': 676.4078867026245, 'a1': 630.0, 'k6': 786.5591697673954, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_9,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 25806.451612904606, '17rf': 844.161733569723, 'a3': 0.0, 'p5': 824.7232718564762, 'l4': 0.0, 'l2': 17769.58310062181, 'p2': 740.489937745878, 'd5': 883.0386570054981, '17re': 833.6001952888037, 'l9': 0.0, 'l7': 0.0, 'l6': 863.6001952876105, 'p4': 792.3258356600398, 'p3': 766.4078867028584, 'a1': 720.0, 'k6': 876.5591697662022, 'p8': 0.0, 'p6': 0.0, 'l3': 863.600194301204, 'l8': 28402.366863905318}"
