aircraft,chosen_route,delay,node_times
AC_A_1,route_arr_2a,0.0,"{'l5': 59.36686118191699, 'd1': 176.7926926906281, 'k2': 170.31320545150356, 'p7': 0.0, '17rf': 0.0, 'a3': 0.0, 'p5': 0.0, 'l4': 85.28481013910039, 'l2': 157.35423097291277, 'p2': 0.0, 'd5': 0.0, '17re': 39.928399464057264, 'l9': 0.0, 'l7': 0.0, 'l6': 0.0, 'p4': 20.489937746169716, 'p3': 0.0, 'a1': 0.0, 'k6': 0.0, 'p8': 0.0, 'p6': 0.0, 'l3': 111.20275909628378, 'l8': 0.0}"
AC_A_10,route_arr_1b,0.0,"{'l5': 759.2333341071062, 'd1': 15427.741076957172, 'k2': 14545.454545454544, 'p7': 0.0, '17rf': 940.4771187276831, 'a3': 23935.791917657887, 'p5': 921.0386570097955, 'l4': 759.2333341071062, 'l2': 16842.10526315789, 'p2': 830.4899377456111, 'd5': 979.3540421634582, '17re': 16639.051834419217, 'l9': 0.0, 'l7': 0.0, 'l6': 959.9155804455706, 'p4': 882.3258356599779, 'p3': 856.4078867027945, 'a1': 810.0, 'k6': 972.8745549241623, 'p8': 0.0, 'p6': 0.0, 'l3': 759.2333341071062, 'l8': 0.0}"
AC_A_2,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 214.16173357484467, 'a3': 0.0, 'p5': 194.72327185700598, 'l4': 0.0, 'l2': 0.0, 'p2': 110.48993774615651, 'd5': 253.0386570105669, '17re': 199.23333410786654, 'l9': 0.0, 'l7': 0.0, 'l6': 233.6001952927237, 'p4': 162.32583566049763, 'p3': 136.40788670332162, 'a1': 90.0, 'k6': 246.55916977129755, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_3,route_arr_1b,0.0,"{'l5': 129.2333341078662, 'd1': 17110.61940647434, 'k2': 17251.71129195742, 'p7': 0.0, '17rf': 304.1617335742146, 'a3': 22857.06252988297, 'p5': 284.72327185650533, 'l4': 129.2333341078662, 'l2': 17391.304347826088, 'p2': 200.48993774587845, 'd5': 343.0386570095777, '17re': 17190.582084367532, 'l9': 0.0, 'l7': 0.0, 'l6': 323.60019529196757, 'p4': 252.32583566007017, 'p3': 226.4078867029452, 'a1': 180.0, 'k6': 336.55916977046104, 'p8': 0.0, 'p6': 0.0, 'l3': 129.2333341078662, 'l8': 0.0}"
AC_A_4,route_arr_1b,0.0,"{'l5': 309.23333410697524, 'd1': 15427.741076957172, 'k2': 14545.454545454544, 'p7': 0.0, '17rf': 394.1617335741603, 'a3': 24135.088763613137, 'p5': 374.7232718564535, 'l4': 309.23333410697524, 'l2': 16842.105263157897, 'p2': 290.4899377458784, 'd5': 433.0386570096016, '17re': 16531.051834419224, 'l9': 0.0, 'l7': 0.0, 'l6': 413.6001952919105, 'p4': 342.32583566001205, 'p3': 316.4078867028871, 'a1': 270.0, 'k6': 426.5591697704094, 'p8': 0.0, 'p6': 0.0, 'l3': 309.23333410697524, 'l8': 0.0}"
AC_A_5,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 484.16173357483, 'a3': 0.0, 'p5': 464.7232718569919, 'l4': 0.0, 'l2': 0.0, 'p2': 380.489937746143, 'd5': 523.0386570105377, '17re': 483.6001952919105, 'l9': 0.0, 'l7': 0.0, 'l6': 503.60019529270767, 'p4': 432.32583566048356, 'p3': 406.4078867033264, 'a1': 360.0, 'k6': 516.5591697712994, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_6,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 651.600195291908, 'a3': 0.0, 'p5': 588.7925038772028, 'l4': 0.0, 'l2': 0.0, 'p2': 470.489937746155, 'd5': 690.4771187276831, '17re': 651.6001952919069, 'l9': 0.0, 'l7': 0.0, 'l6': 671.0386570097955, 'p4': 540.0, 'p3': 496.4078867033384, 'a1': 450.0, 'k6': 683.9976314883872, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_7,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 664.1617335748485, 'a3': 54.135065547859995, 'p5': 644.723271857005, 'l4': 0.0, 'l2': 0.0, 'p2': 560.489937746156, 'd5': 703.0386570105633, '17re': 651.6001952919069, 'l9': 0.0, 'l7': 0.0, 'l6': 683.6001952927276, 'p4': 612.3258356604966, 'p3': 586.4078867033209, 'a1': 540.0, 'k6': 696.5591697713193, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_8,route_arr_1b,0.0,"{'l5': 579.2333341081394, 'd1': 17110.61940647434, 'k2': 17251.71129195743, 'p7': 0.0, '17rf': 761.600195291908, 'a3': 22791.898914148187, 'p5': 734.7232718565044, 'l4': 579.2333341081394, 'l2': 17391.304347826088, 'p2': 650.4899377458781, 'd5': 800.4771187276831, '17re': 17265.582084367532, 'l9': 0.0, 'l7': 0.0, 'l6': 781.0386570097955, 'p4': 702.3258356600692, 'p3': 676.4078867029447, 'a1': 630.0, 'k6': 793.9976314883872, 'p8': 0.0, 'p6': 0.0, 'l3': 579.2333341081394, 'l8': 0.0}"
AC_A_9,route_arr_1b,0.0,"{'l5': 759.2333341071062, 'd1': 15935.488212723147, 'k2': 18536.253060645613, 'p7': 0.0, '17rf': 851.0386570097955, 'a3': 23183.855446224392, 'p5': 824.7232718565022, 'l4': 759.2333341071062, 'l2': 17204.301075268817, 'p2': 740.489937745878, 'd5': 889.9155804455706, '17re': 17054.715560412616, 'l9': 0.0, 'l7': 0.0, 'l6': 870.4771187276831, 'p4': 792.325835660069, 'p3': 766.4078867029446, 'a1': 720.0, 'k6': 883.4360932062748, 'p8': 0.0, 'p6': 0.0, 'l3': 759.2333341071062, 'l8': 0.0}"
