aircraft,chosen_route,delay,node_times
AC_A_1,route_arr_2a,0.0,"{'l5': 53.96987380165683, 'd1': 142.3265179738928, 'k2': 136.43607502907707, 'p7': 0.0, '17rf': 0.0, 'a3': 0.0, 'p5': 0.0, 'l4': 77.53164558091976, 'l2': 124.65518913944561, 'p2': 90.0, 'd5': 0.0, '17re': 36.298544967195085, 'l9': 27272.727272726755, 'l7': 0.0, 'l6': 0.0, 'p4': 18.627216132881557, 'p3': 17867.748560801887, 'a1': 0.0, 'k6': 0.0, 'p8': 0.0, 'p6': 0.0, 'l3': 101.09341736018268, 'l8': 29809.72515856181}"
AC_A_10,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 922.8743032493949, 'a3': 24026.50041477293, 'p5': 905.2029744149331, 'l4': 940.5456320838584, 'l2': 0.0, 'p2': 828.6272161310044, 'd5': 958.21696085234, '17re': 17067.762972600434, 'l9': 0.0, 'l7': 0.0, 'l6': 940.5456320838584, 'p4': 875.7507596908326, 'p3': 852.1889879095252, 'a1': 810.0, 'k6': 952.3265179734899, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_2,route_arr_1b,0.0,"{'l5': 220.54563208208128, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 202.87430324762886, 'a3': 0.0, 'p5': 185.20297441550065, 'l4': 0.0, 'l2': 0.0, 'p2': 108.62721613288159, 'd5': 238.2169609165708, '17re': 171.57575827938854, 'l9': 0.0, 'l7': 0.0, 'l6': 220.54563208257238, 'p4': 155.75075969140744, 'p3': 132.1889879121445, 'a1': 90.0, 'k6': 232.32651797196013, 'p8': 0.0, 'p6': 0.0, 'l3': 220.54563208208128, 'l8': 0.0}"
AC_A_3,route_arr_1b,0.0,"{'l5': 310.54563208385196, 'd1': 12809.374999999864, 'k2': 0.0, 'p7': 0.0, '17rf': 292.87430324938896, 'a3': 0.0, 'p5': 275.2029744151798, 'l4': 310.54563208385196, 'l2': 17877.61145534366, 'p2': 198.6272161327358, 'd5': 328.2169609182979, '17re': 270.5456320820813, 'l9': 0.0, 'l7': 0.0, 'l6': 310.5456320838507, 'p4': 245.75075969108659, 'p3': 222.18898791199874, 'a1': 180.0, 'k6': 322.32651797348217, 'p8': 0.0, 'p6': 0.0, 'l3': 310.5456320838529, 'l8': 0.0}"
AC_A_4,route_arr_1b,0.0,"{'l5': 400.54563208205764, 'd1': 11711.42857142857, 'k2': 0.0, 'p7': 0.0, '17rf': 382.87430324996245, 'a3': 0.0, 'p5': 365.2029744155007, 'l4': 400.54563208205786, 'l2': 0.0, 'p2': 288.62721613288164, 'd5': 418.2169608860859, '17re': 360.54563208404113, 'l9': 0.0, 'l7': 0.0, 'l6': 400.5456320516387, 'p4': 335.7507596914075, 'p3': 312.18898791214457, 'a1': 270.0, 'k6': 412.32651794127014, 'p8': 0.0, 'p6': 0.0, 'l3': 400.54563208205764, 'l8': 0.0}"
AC_A_5,route_arr_1b,0.0,"{'l5': 509.54563208205764, 'd1': 12809.374999999864, 'k2': 0.0, 'p7': 0.0, '17rf': 472.8743032404709, 'a3': 0.0, 'p5': 455.20297440600916, 'l4': 0.0, 'l2': 0.0, 'p2': 378.62721613256144, 'd5': 508.21696089882784, '17re': 17729.175276111182, 'l9': 0.0, 'l7': 0.0, 'l6': 490.54563207493266, 'p4': 425.7507596910857, 'p3': 402.18898791182437, 'a1': 360.0, 'k6': 502.32651796073515, 'p8': 0.0, 'p6': 0.0, 'l3': 509.5456320820585, 'l8': 0.0}"
AC_A_6,route_arr_1b,0.0,"{'l5': 580.5456320837693, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 562.8743032496131, 'a3': 0.0, 'p5': 545.2029744151788, 'l4': 0.0, 'l2': 0.0, 'p2': 468.62721613571534, 'd5': 598.2169609149296, '17re': 559.5456320820576, 'l9': 0.0, 'l7': 0.0, 'l6': 580.5456320818339, 'p4': 515.7507596910856, 'p3': 492.1889879149676, 'a1': 450.0, 'k6': 592.3265179712344, 'p8': 28070.17543859631, 'p6': 26439.530029874197, 'l3': 0.0, 'l8': 0.0}"
AC_A_7,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 652.874303249846, 'a3': 0.0, 'p5': 635.2029744155006, 'l4': 0.0, 'l2': 0.0, 'p2': 558.6272161329217, 'd5': 688.2169609087287, '17re': 630.5456320837702, 'l9': 0.0, 'l7': 0.0, 'l6': 670.5456320786034, 'p4': 605.7507596914074, 'p3': 582.1889879121447, 'a1': 540.0, 'k6': 682.3265179674909, 'p8': 175.43859649183287, 'p6': 323.67908819384684, 'l3': 690.5456320837706, 'l8': 0.0}"
AC_A_8,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 12809.374999999864, 'k2': 0.0, 'p7': 0.0, '17rf': 742.8743032493716, 'a3': 0.0, 'p5': 725.2029744151062, 'l4': 760.545632083833, 'l2': 0.0, 'p2': 648.6272161327355, 'd5': 778.2169609182805, '17re': 740.5456320837704, 'l9': 27272.727272726755, 'l7': 0.0, 'l6': 760.5456320838333, 'p4': 695.750759691013, 'p3': 672.1889879119984, 'a1': 630.0, 'k6': 772.3265179734648, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 29809.72515856181}"
AC_A_9,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 832.8743032448837, 'a3': 0.0, 'p5': 815.2029744150641, 'l4': 850.5456312921252, 'l2': 0.0, 'p2': 738.6272161324437, 'd5': 868.2169609137926, '17re': 810.5456320838184, 'l9': 0.0, 'l7': 0.0, 'l6': 850.5456320793454, 'p4': 785.7507596909709, 'p3': 762.1889879117066, 'a1': 720.0, 'k6': 862.3265179689769, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
